,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
176,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68.0,80
177,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82
178,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
179,Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58.0,80
180,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80
181,Skins,TV-MA,,110,2017,,82
182,A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
183,Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82
184,Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,,81
185,Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61.0,80
186,Deidra & Laney Rob a Train,TV-14,,90,2017,,82
187,Girlboss,TV-MA,,110,2017,94.0,80
188,Hot Girls Wanted: Turned On,TV-MA,,110,2017,,82
189,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80
190,Hurricane Bianca,TV-MA,,110,2016,,82
191,Honeytrap,NR,This movie has not been rated.,124,2014,,82
192,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
193,Lazy Eye,TV-MA,,110,2016,,82
194,Like Cotton Twines,NR,,124,2016,,82
195,The Wedding Party,TV-14,,90,2016,,82
196,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94.0,80
197,Only for One Night,TV-MA,,110,2016,78.0,80
198,Boy Bye,TV-MA,,110,2016,,82
199,Almost Adults,NR,This movie has not been rated.,124,2016,,82
200,Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,,82
201,30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66.0,80
202,Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82.0,80
203,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94.0,80
204,Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,,82
205,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91.0,80
206,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79.0,80
207,Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55.0,80
208,Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
209,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
210,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,,82
211,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73.0,80
212,Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58.0,80
213,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82
214,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,,82
215,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80.0,80
216,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
217,The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,,82
218,5 to 7,R,some sexual material,100,2014,,82
219,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
220,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90.0,80
221,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
222,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80.0,80
223,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81.0,80
224,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
225,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86.0,80
226,Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63.0,80
227,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80
228,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80
229,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82
230,Abstract: The Art of Design,TV-14,,90,2017,,82
231,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
232,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80
233,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68.0,80
234,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82
235,Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82
236,The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69.0,80
237,The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89.0,80
238,One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82
239,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82
240,Hot Girls Wanted: Turned On,TV-MA,,110,2017,,82
241,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80
242,Better Off Single,TV-MA,,110,2016,,82
243,Sandy Wexler,TV-14,,90,2017,92.0,80
244,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93.0,80
245,The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79.0,80
246,Tramps,TV-MA,,110,2017,,82
247,Slam,TV-MA,,110,2017,,82
248,Cheer Squad,TV-PG,,70,2016,61.0,80
249,Almost Adults,NR,This movie has not been rated.,124,2016,,82
250,The Waterboy,PG-13,language and some crude sexual humor,80,1998,82.0,80
251,10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68.0,80
252,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86.0,80
253,How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56.0,80
254,The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77.0,80
255,Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64.0,80
256,High School Musical 2,TV-G,Suitable for all ages.,35,2007,58.0,80
257,Twilight,PG-13,some violence and one sexual scene,80,2008,89.0,80
258,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
259,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56.0,80
260,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97.0,80
261,Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81.0,80
262,StarStruck,TV-G,Suitable for all ages.,35,2010,,82
263,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
264,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98.0,80
265,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62.0,80
266,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96.0,80
267,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94.0,80
268,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92.0,80
269,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91.0,80
270,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98.0,80
271,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
272,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98.0,80
