,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
671,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80
672,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
673,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82
674,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80
675,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80
676,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80
677,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80
678,Paddington,PG,mild action and rude humor,60,2014,70.0,80
679,Larva,TV-G,Suitable for all ages.,35,2015,,82
680,Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,,82
681,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
682,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80
683,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
684,Minions,PG,action and rude humor,60,2015,96.0,80
685,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80
686,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
687,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
688,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
689,The Little Prince,PG,mild thematic elements,60,2015,71.0,80
690,Word Party,TV-Y,Suitable for all ages.,10,2016,,82
691,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80
692,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
693,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82
694,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80
695,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
696,Finding Dory,PG,mild thematic elements,60,2016,98.0,80
697,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
698,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80
699,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80
700,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
701,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96.0,80
702,The Little Rascals,PG,some rude dialogue,60,1994,86.0,80
703,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
704,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
705,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
706,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
707,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80
708,Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75.0,80
709,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
710,Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80
711,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80
712,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80
713,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
714,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
715,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80
716,Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80
717,Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80
718,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
719,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
720,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80
721,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80
722,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80
723,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,,82
724,Home,PG,mild action and some rude humor,60,2015,94.0,80
725,Paddington,PG,mild action and rude humor,60,2014,70.0,80
726,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
727,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
728,Minions,PG,action and rude humor,60,2015,96.0,80
729,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80
730,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
731,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
732,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
733,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80
734,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80
735,Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80
736,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80
737,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
738,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80
739,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82
740,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
741,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
742,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80
743,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
744,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93.0,80
745,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80
746,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80
747,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82
748,Growing Up Wild,G,,35,2016,80.0,80
749,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
750,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
751,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
752,Antz,PG,moderate adult language and intense action,60,1998,80.0,80
753,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82
754,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80
755,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82
756,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
757,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
758,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82
759,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80
760,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
761,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80
762,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
763,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82
764,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,,82
765,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
766,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
767,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82
768,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82
769,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82
770,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82
771,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
772,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82
773,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
774,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80
775,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82
776,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82
777,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,,82
778,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82
779,A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,,82
780,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82
781,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
782,Ernest & Celestine,PG,some scary moments,60,2012,,82
783,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
784,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80
785,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82
786,PopPixie,TV-G,Suitable for all ages.,35,2011,,82
787,Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,,82
788,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80
789,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82
790,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
791,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82
792,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82
793,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80
794,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82
795,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
796,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82
797,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82
798,Blinky Bill: The Movie,PG,some rude humor,60,2015,,82
799,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
800,Flubber,PG,slapstick action and mild language,60,1997,83.0,80
801,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
802,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80
803,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
804,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
805,FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70.0,80
806,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
807,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
808,The Lizzie McGuire Movie,PG,mild thematic elements,60,2003,,82
809,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82
810,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82
811,Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,,82
812,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82
813,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
814,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
815,The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10,1993,,82
816,The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,,82
817,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,,82
818,The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,,82
819,Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60,2012,,82
820,Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,,82
821,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82
822,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
823,Monster Math Squad,TV-G,Suitable for all ages.,35,2012,,82
824,Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,,82
825,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,,82
826,Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,,82
827,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82
828,Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82
829,Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,,82
830,Ribbit,PG,some peril,60,2014,,82
831,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
832,Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,,82
833,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
834,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
835,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82
836,Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82
837,Puffin Rock,TV-Y,Suitable for all ages.,10,2016,,82
838,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
839,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
840,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
841,The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,,82
842,Zoobabu,TV-Y,Suitable for all ages.,10,2010,,82
843,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82
844,Gon,TV-G,Suitable for all ages.,35,2013,,82
845,Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,,82
846,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82
847,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
848,LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
849,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
850,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
851,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
852,Antz,PG,moderate adult language and intense action,60,1998,80.0,80
853,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82
854,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80
855,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82
856,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
857,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
858,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82
859,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80
860,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
861,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80
862,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
863,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82
864,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,,82
865,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
866,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
867,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82
868,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82
869,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82
870,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82
871,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
872,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82
873,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
874,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80
875,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82
876,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82
877,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,,82
878,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82
879,A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,,82
880,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82
881,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
882,Ernest & Celestine,PG,some scary moments,60,2012,,82
883,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
884,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80
885,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82
886,PopPixie,TV-G,Suitable for all ages.,35,2011,,82
887,Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,,82
888,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80
889,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82
890,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
891,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82
892,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82
893,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80
894,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82
895,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
896,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82
897,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82
898,Blinky Bill: The Movie,PG,some rude humor,60,2015,,82
899,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
900,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
901,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96.0,80
902,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
903,Antz,PG,moderate adult language and intense action,60,1998,80.0,80
904,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82
905,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
906,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82
907,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80
908,Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58.0,80
909,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82
910,Cats & Dogs,PG,animal action and humor,60,2001,,82
911,Atlantis: The Lost Empire,PG,action violence,60,2001,96.0,80
912,FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70.0,80
913,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
914,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
915,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82
916,Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,,82
917,Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79.0,80
918,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82
919,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82
920,Annie,PG,adult content and mld violence,60,1982,68.0,80
921,Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,,82
922,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82
923,Batched,G,General Audiences. Suitable for all ages.,35,2000,,82
924,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
925,Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,,82
926,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82
927,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
928,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80
929,Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,,82
930,Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,,82
931,Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80
932,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80
933,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82
934,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,,82
935,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82
936,Ernest & Celestine,PG,some scary moments,60,2012,,82
937,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80
938,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82
939,Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,,82
940,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82
941,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80
942,Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82
943,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82
944,Ribbit,PG,some peril,60,2014,,82
945,Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82
946,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
947,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82
948,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82
949,Growing Up Wild,G,,35,2016,80.0,80
950,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
951,Mr. Magoo,PG,mild language and action sequences,60,1997,,82
952,Flubber,PG,slapstick action and mild language,60,1997,83.0,80
953,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
954,Antz,PG,moderate adult language and intense action,60,1998,80.0,80
955,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82
956,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82
957,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
958,Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,,82
959,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
960,Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58.0,80
961,Cats & Dogs,PG,animal action and humor,60,2001,,82
962,Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80
963,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
964,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
965,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82
966,Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80
967,Heavyweights,PG,some rude language and pranks,60,1995,74.0,80
968,Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,,82
969,Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,,82
970,Annie,PG,adult content and mld violence,60,1982,68.0,80
971,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
972,D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80
973,"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80.0,80
974,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
975,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82
976,Air Buddies,PG,"some mild, rude humor",60,2006,,82
977,Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,,82
978,Flicka 2,PG,some reckless behavior,60,2010,,82
979,H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80
980,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82
981,Dolphin Tale,PG,some mild thematic elements,60,2011,,82
982,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82
983,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82
984,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
985,Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82
986,Pok̩mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80
987,Mia and Me,TV-Y,Suitable for all ages.,10,2015,,82
988,Paddington,PG,mild action and rude humor,60,2014,70.0,80
989,Russell Madness,PG,some rude humor and sports action,60,2015,,82
990,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82
991,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80
992,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82
993,Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,,82
994,Pup Star,G,General Audiences. Suitable for all ages.,35,2016,,82
995,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80
996,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
997,Precious Puppies,TV-G,Suitable for all ages.,35,2003,,82
998,Beary Tales,TV-G,Suitable for all ages.,35,2013,,82
999,Growing Up Wild,G,,35,2016,80.0,80
